Jan,jan
Feb,februari
Mar,mar
Apr,april
May,Maj
Jun,juni
Jul,juli
Aug,Augusti
Sep,september
Oct,oktober
Nov,november
Dec,december
Spin and Win,Spin och vinn
Module Configurations,modul konfigurationer
Image has been uploaded successfully!,Bilden har överförts framgångsrikt!
There was some error while uploading the image for the front end.,Det fanns några fel när du överför bilden för den främre änden.
Module configuration have been saved successfully!,Modul konfiguration har sparats!
Not your lucky day today. Better Luck Next Time.,Inte din lyckodag idag. Bättre lycka nästa gång.
"Something went wrong while generating the coupon code, please try again.","Något gick fel när genererar kupongkod, försök igen."
Slice Settings,skiva Inställningar
Note,Notera
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. Värdet som du sätter i Gravity kolumnen kommer att avgöra möjligheten till en skiva som skall väljas på den främre änden. Ju högre värde, desto större är risken för slice som skall väljas när kunden använder plugin."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. Värdet på Gravity kolumnen för varje skiva inte kan vara större än 100 och summan av alla 12 skivor kan inte vara större än 100 och mindre än 1.
Slice Label,Slice Label
Coupon Type,kupong Typ
Coupon Value,kupong Värde
Gravity (%),Vikt (%)
Fixed,Fast
Percentage,Procentsats
Free Shipping,Gratis frakt
Please select atleast one page,Välj minst en sida
Please select atleast one country,Välj minst ett land
Field cannot be empty,Fältet får inte vara tomt
Total Coupons Generated,Totalt kuponger Generated
Total Coupons Unused,Totalt kuponger Oanvänd
Total Coupons Used,Totalt kuponger Begagnade
`Active Date` cannot be greater than `Inactive Date`,`Active möjliga tillfälle inte kan vara större än 'inaktiv möjliga tillfälle
`From` Date cannot be greater than `To` Date,`From` Datum kan inte vara större än 'till` Datum
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,Summan av Gravity är inte det giltiga intervallet. Det bör vara betwen 1 och 100
Date & Time should be greater than current date time.,Datum och tid bör vara större än aktuellt datum tid.
Please enter First name.,Ange förnamn.
First name cannot be greater than # characters.,Förnamn kan inte vara större än # tecken.
First name cannot be less than # characters.,Förnamn kan inte vara mindre än # tecken.
Please enter middle name.,Ange mellannamn.
Middle name cannot be greater than # characters.,Mellannamn kan inte vara större än # tecken.
Middle name cannot be less than # characters.,Mellannamn kan inte vara mindre än # tecken.
Only alphabets are allowed.,Endast alfabet är tillåtna.
Please enter Last name.,Ange efternamn.
Last name cannot be greater than # characters.,Efternamn kan inte vara större än # tecken.
Last name cannot be less than # characters.,Efternamn kan inte vara mindre än # tecken.
Field should be alphanumeric.,Område bör alfanumerisk.
Please enter Password.,Ange lösenord Tack.
Password cannot be greater than # characters.,Lösenord kan inte vara större än # tecken.
Password cannot be less than # characters.,Lösenord kan inte vara mindre än # tecken.
Password should contain atleast 1 special character.,Lösenordet ska innehålla minst ett specialtecken.
Password should contain alphabets.,Lösenord bör innehålla alfabet.
Password should contain atleast 1 capital letter.,Lösenordet ska innehålla minst en stor bokstav.
Password should contain atleast 1 small letter.,Lösenordet ska innehålla minst en liten bokstav.
Password should contain atleast 1 digit.,Lösenordet ska innehålla minst en siffra.
Field cannot be empty.,Fältet kan inte vara tomt.
You can enter only numbers.,Du kan endast ange siffror.
Number should be greater than 0.,Nummer bör vara större än 0.
Field cannot be greater than # characters.,Fältet kan inte vara större än # tecken.
Field cannot be less than # character(s).,Fältet kan inte vara mindre än # tecken (s).
Please enter Email.,Ange E-post.
Please enter a valid Email.,Ange ett giltigt e-post.
Please enter country name.,Ange landets namn.
Country cannot be greater than # characters.,Land kan inte vara större än # tecken.
Country cannot be less than # characters.,Land kan inte vara mindre än # tecken.
Please enter city name.,Vänligen ortsnamn anger.
City cannot be greater than # characters.,Staden kan inte vara större än # tecken.
City cannot be less than # characters.,Staden kan inte vara mindre än # tecken.
Please enter state name.,Ange uppge namn.
State cannot be greater than # characters.,Staten kan inte vara större än # tecken.
State cannot be less than # characters.,Staten kan inte vara mindre än # tecken.
Please enter product name.,Ange produktnamn.
Product cannot be greater than # characters.,Produkten kan inte vara större än # tecken.
Product cannot be less than # characters.,Produkten kan inte vara mindre än # tecken.
Please enter category name.,Ange kategorinamn.
Category cannot be greater than # characters.,Kategori kan inte vara större än # tecken.
Category cannot be less than # characters.,Kategori kan inte vara mindre än # tecken.
Please enter zip code.,Ange postnummer.
Zip cannot be greater than # characters.,Zip kan inte vara större än # tecken.
Zip cannot be less than # characters.,Zip kan inte vara mindre än # tecken.
Please enter Username.,Ange användarnamn.
Username cannot be greater than # characters.,Användarnamn kan inte vara större än # tecken.
Username cannot be less than # characters.,Användarnamn kan inte vara mindre än # tecken.
Invalid date format.,Ogiltigt datumformat.
SKU cannot be greater than # characters.,SKU kan inte vara större än # tecken.
SKU cannot be less than # characters.,SKU kan inte vara mindre än # tecken.
Invalid SKU format.,Ogiltig SKU format.
Please enter SKU.,Ange SKU.
Number is not in the valid range. It should be betwen # and %,Nummer är inte det giltiga intervallet. Det bör vara betwen # och%
Please enter address.,Ange adress.
Address cannot be less than # characters.,Adress kan inte vara mindre än # tecken.
Address cannot be greater than # characters.,Adress kan inte vara större än # tecken.
Please enter company name.,Ange företagsnamn.
Company name cannot be less than # characters.,Företagsnamn kan inte vara mindre än # tecken.
Company name cannot be greater than # characters.,Företagsnamn kan inte vara större än # tecken.
Phone number is invalid.,Telefonnummer är ogiltigt.
Please enter phone number.,Ange telefonnummer.
Phone number cannot be less than # characters.,Telefonnummer kan inte vara mindre än # tecken.
Phone number cannot be greater than # characters.,Telefonnummer kan inte vara större än # tecken.
Please enter brand name.,Ange varumärke.
Brand name cannot be greater than # characters.,Märkes kan inte vara större än # tecken.
Brand name cannot be less than # characters.,Märkes kan inte vara mindre än # tecken.
Please enter Shimpment.,Ange Shimpment.
Shipment cannot be greater than # characters.,Transporten inte kan vara större än # tecken.
Shipment cannot be less than # characters.,Transporten inte kan vara mindre än # tecken.
Invalid IP format.,Ogiltig IP-format.
Invalid URL format.,Ogiltig URL-format.
Please enter URL.,Ange URL.
Field should be numeric.,Område bör numeriskt.
Field can have only upto two decimal values.,Fältet kan bara ha upp till två decimalvärden.
Email cannot be greater than # characters.,E-post kan inte vara större än # tecken.
Zip should not have special characters.,Zip bör inte ha specialtecken.
SKU should not have special characters.,SKU bör inte ha specialtecken.
URL cannot be greater than # characters.,URL kan inte vara större än # tecken.
Percentage should be in number.,Procent ska vara i antal.
Percentage should be between 0 and 100.,Procentsats bör vara mellan 0 och 100.
Size cannot be greater than # characters.,Storlek kan inte vara större än # tecken.
Size should not have special characters.,Storlek bör inte ha specialtecken.
UPC should not have special characters.,UPC bör inte ha specialtecken.
UPC cannot be greater than # characters.,UPC kan inte vara större än # tecken.
EAN should not have special characters.,EAN bör inte ha specialtecken.
EAN cannot be greater than # characters.,EAN kan inte vara större än # tecken.
Barcode should not have special characters.,Barcode bör inte ha specialtecken.
Barcode cannot be greater than # characters.,Barcode kan inte vara större än # tecken.
Field should be positive.,Fältet ska vara positiv.
Color could not be greater than # characters.,Color kunde inte vara större än # tecken.
Color is not valid.,Färg är inte giltigt.
Special characters are not allowed.,Specialtecken är inte tillåtna.
Script tags are not allowed.,Script-taggar är inte tillåtna.
Style tags are not allowed.,Style-taggar är inte tillåtna.
Iframe tags are not allowed.,Iframe-taggar är inte tillåtna.
Uploaded file is not an image,Uppladdade filen är inte en bild
Uploaded file size must be less than #.,Uppladdade filstorleken måste vara mindre än #.
Field should not contain HTML tags.,Fältet får inte innehålla HTML-taggar.
You can enter only positive numbers.,Du kan ange bara positiva tal.
Invalid comma (#) separated values.,Ogiltig kommatecken (#) separerade värden.
Spin and Win Free version,Spin och Vinn gratis version
v1.0.0,v1.0.0
Current Configuration Scope,Nuvarande konfiguration Scope
Save Configurations,Spara konfigurationer
General Settings,Allmänna Inställningar
Look and Feel Settings,Utseende och känsla Inställningar
Go to Home Page,Gå till hemsidan
Home,Hem
Spin & Win,Spin & Win
Enable the Extension,Aktivera Extension
Following features are not avalialble in free version.,Följande funktioner är inte avalialble i gratisversionen.
Click here ,Klicka här
to buy paid version of this module.,att köpa betalda versionen av denna modul.
1-General setting tab,En general flik inställning
Show Pull out : Setting to allow store owner to provide the option to pull the wheel back on the screen by the user,Visa Dra ut: Inställning att låta butiksägaren att ge möjlighet att dra hjulet tillbaka på skärmen av användaren
Email Redundancy Check : Setting to verify the email id of the customer in order to ensure that there is no repetition of emails id,Email Redundancy Check: Inställning för att kontrollera e-id för kunden för att säkerställa att det inte finns någon upprepning av e-post id
Wheel Display Interval : Setting to fix the number of days after which the wheel will be displayed to the customer.,"Hjul Display Intervall: Inställning för att fastställa antalet dagar, varefter hjulet kommer att visas för kunden."
Custom CSS and Custom JS : Setting to change  the look and feel of the module as per their need by entering the custom CSS and custom JS code,Anpassad CSS och Custom JS: Inställning för att ändra utseendet och känslan av modulen enligt deras behov genom att ange den anpassade CSS och anpassade JS-kod
2-Display setting tab,Fliken 2-Display inställning
Minimum Screen Size : Setting to choose minimum screen size whom you want to display offers.,Minsta Skärmstorlek: Inställning välja minsta skärmstorlek som du vill visa erbjudanden.
Maximum Display frequency : Setting to select the frequency of the wheel display here,Maximal Display frekvens: inställning för att välja frekvensen av hjulet visas här
Where to Display : Setting to select the pages where you want to display the wheel from here,Var kan man Display: Inställning för att välja de sidor där du vill visa hjulet härifrån
"Who to Show : Setting to select the visitors to whom you want to show the spin wheel. You may select ‘All Visitors’, ‘Registered Visitors’, or ‘Guest Visitors’","Vem ska Visa: inställning för att välja besökare som du vill visa spin hjulet. Du kan välja ’Alla besökare’, ’Registrerade besökare’ eller ""gästbesöks"
When to Display : Setting to choose exactly when you want the wheel to be displayed. You can either display it immediately when the customer lands on your site or after some time or when the visitor scrolls down,När ska Display: Inställning att välja exakt när du vill att hjulet ska visas. Du kan antingen visa det omedelbart när kunden landar på din webbplats eller efter en viss tid eller när rullar besökare ner
Geo Location :  Setting to select the display offers as per the Geo location of the visitors.,Geo Plats: inställning för att välja displayen ger enligt Geo platsen för besökarna.
3-Look & Feel  setting tab ,3-Look & Feel inställningen tab
Setting to allow change the look of the wheel as it appears on the site,Inställning att låta ändra utseendet på hjulet som det visas på webbplatsen
4-Wheel setting tab,Fliken 4-Wheel inställning
Setting to change the look and feel of the spin wheel by changing the configuration in the ‘Wheel Setting’ option,Inställning för att ändra utseendet och känslan av spin hjul genom att ändra konfigurationen i "Wheel Setting alternativet
5-Slice setting tab,5-Slice flik inställning
Settings and the text or offers displayed in the different slices of the wheel can be changed from the ‘Slice Setting’ option,Inställningar och texten eller erbjudanden som visas i de olika skivor av hjulet kan ändras från "Slice Inställning alternativet
6-Email marketing setting tab,Fliken 6-E-postmarknadsföring inställning
The admin can enable or disable MailChimp and Klaviyo option from the ‘Email Marketing’ settings. An email notification will be sent to the customers on the email id as mentioned by them.,Administratören kan aktivera eller inaktivera MailChimp och Klaviyo alternativ från ’E-postmarknadsföring’ inställningar. Ett e-postmeddelande kommer att skickas till kunder på e-id som nämnts av dem.
7-Email tab,7-E-fliken
"Allows the admin to choose the places where he wants to display the coupon. Namely ‘Only on Wheel’, ‘Email Only’, ‘Email & Wheel’","Låter admin att välja de platser där han vill visa kupongen. Nämligen ’Endast på Wheel’, ’E-post Endast’, ’E & Wheel’"
8-Statistics tab,8-Statistik fliken
A complete access to the statistical report of the visitors who spinned the wheel and claimed the coupon generated by the same. The report is generated in both graphical and tabular format.,En fullständig tillgång till statistikrapporten av besökarna som spinned hjulet och hävdade kupongen som genereras av densamma. Rapporten genereras i både grafiskt och tabellform.
Display Image,visade bilden
Show image in the front end Spin Wheel interface,Visa bild i fronten Spin Wheel gränssnitt
Upload your Logo Image,Ladda upp din logotyp Bild
Upload an image to be shown in the front end Spin Wheel interface (Max Size - 2 MB),Ladda upp en bild som ska visas i den främre änden Spin Wheel gränssnitt (Max Size - 2 MB)
Required Field,Obligatoriskt fält
Not a valid email,Inte en giltig e
a discount,en rabatt
Code copied.,Kod kopieras.
Website Logo,webbplats Logo
Special bonus unlocked,Special bonus olåst
Hurrah! You've got,Hurra! Du har
. Lucky day!,. Lyckodag!
The coupon code has been sent to you through the email.,Kupongen koden har skickats till dig via e-post.
Better luck next time!,Bättre lycka nästa gång!
You have a chance to win a nice big fat discount. Are you ready?,Du har en chans att vinna en fin stor fet rabatt. Är du redo?
You can spin the wheel only once.,Du kan snurra hjulet en gång.
"If you win, you can claim your coupon for 1 day only!",Om du vinner kan du få din kupong för endast en dag!
Don't forget to use the discount code at checkout!,Glöm inte att använda rabattkod i kassan!
Enter you email,Ange du e
Try your luck,Testa din tur
Next Time,Nästa gång
"No, I do not feel lucky","Nej, jag känner inte lycklig"
Continue,Fortsätta
Spin and Win Free,Spin och Vinn gratis
